Artnr	ColorC	ColorN	Size	Price	Barcode	Besteld	Aantalp	Aantal
07428-20	000009 	 black/white combi	XS/34	59,99	8719937472157	101	212,1	212
07428-20	000009 	 black/white combi	S/36	59,99	8719937457963	451	947,1	947
07428-20	000009 	 black/white combi	M/38	59,99	8719937472164	689	1446,9	1447
07428-20	000009 	 black/white combi	L/40	59,99	8719937472171	692	1453,2	1453
07428-20	000009 	 black/white combi	XL/42	59,99	8719937472188	615	1291,5	1292
07428-20	000009 	 black/white combi	2XL/44	59,99	8719937472195	422	886,2	886
07428-20	000009 	 black/white combi	3XL/46	59,99	8719937472201	195	409,5	410
07432-20	000999 	 black	XS/34	89,99	8719937484587	27	56,7	57
07432-20	000999 	 black	S/36	89,99	8719937471518	61	128,1	128
07432-20	000999 	 black	M/38	89,99	8719937484594	72	151,2	151
07432-20	000999 	 black	L/40	89,99	8719937484600	61	128,1	128
07432-20	000999 	 black	XL/42	89,99	8719937484617	48	100,8	101
07432-20	000999 	 black	2XL/44	89,99	8719937484624	28	58,8	59
07432-20	000999 	 black	3XL/46	89,99	8719937484631	13	27,3	27
07434-20	000999 	 black	XS/34	69,99	8719937475172	41	86,1	86
07434-20	000999 	 black	S/36	69,99	8719937460062	94	197,4	197
07434-20	000999 	 black	M/38	69,99	8719937475189	118	247,8	248
07434-20	000999 	 black	L/40	69,99	8719937475196	120	252	252
07434-20	000999 	 black	XL/42	69,99	8719937475202	98	205,8	206
07434-20	000999 	 black	2XL/44	69,99	8719937475219	65	136,5	137
07434-20	000999 	 black	3XL/46	69,99	8719937475226	42	88,2	88
06351K-20	000999 	black/off-white/gold combi	116	49,99	8719937495705	1	2,1	2
06351K-20	000999 	black/off-white/gold combi	128	49,99	8719937495729	12	25,2	25
06351K-20	000999 	black/off-white/gold combi	140	49,99	8719937495743	36	75,6	76
06351K-20	000999 	black/off-white/gold combi	152	49,99	8719937459486	44	92,4	92
06351K-20	000999 	black/off-white/gold combi	164	49,99	8719937495774	43	90,3	90
06351K-20	000999 	black/off-white/gold combi	176	49,99	8719937495798	26	54,6	55
06355K-20	000999 	 black	128	39,99	8719937494234	12	25,2	25
06355K-20	000999 	 black	140	39,99	8719937494258	47	98,7	99
06355K-20	000999 	 black	146	39,99	8719937494265	2	4,2	4
06355K-20	000999 	 black	152	39,99	8719937478685	56	117,6	118
06355K-20	000999 	 black	158	39,99	8719937494272	2	4,2	4
06355K-20	000999 	 black	164	39,99	8719937494289	58	121,8	122
06355K-20	000999 	 black	170	39,99	8719937494296	1	2,1	2
06355K-20	000999 	 black	176	39,99	8719937494302	43	90,3	90
06356K-20	000009 	black/off-white combi	116	39,99	8719937497693	1	2,1	2
06356K-20	000009 	black/off-white combi	128	39,99	8719937497716	11	23,1	23
06356K-20	000009 	black/off-white combi	140	39,99	8719937497730	24	50,4	50
06356K-20	000009 	black/off-white combi	152	39,99	8719937492759	37	77,7	78
06356K-20	000009 	black/off-white combi	164	39,99	8719937497761	42	88,2	88
06356K-20	000009 	black/off-white combi	176	39,99	8719937497785	24	50,4	50
06357K-20	000999 	black/off-white/gold combi	116	49,99	8719937494067	5	10,5	11
06357K-20	000999 	black/off-white/gold combi	128	49,99	8719937494081	34	71,4	71
06357K-20	000999 	black/off-white/gold combi	140	49,99	8719937494104	73	153,3	153
06357K-20	000999 	black/off-white/gold combi	152	49,99	8719937462257	79	165,9	166
06357K-20	000999 	black/off-white/gold combi	164	49,99	8719937494135	74	155,4	155
06357K-20	000999 	black/off-white/gold combi	176	49,99	8719937494159	53	111,3	111
